type	chapter_no	service_no	description_de	description_fr	description_it	valid_from	valid_until
srv	3.1	3110	Indoorcycling, Personal Training, online live	Vélo en salle, entraînement personnalisé, en ligne et en direct	Indoor cycling, personal training, online live	2027-01-01	9998-12-31
srv	3.1	3111	Rudern, pro 1 Lektion	Aviron, par leçon	Canottaggio, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3112	Rudern, online live, pro 1 Lektion	Aviron, en ligne et en direct, par leçon	Canottaggio, online live, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3113	Rudern, pro 1 Monat	Aviron, par mois	Canottaggio, 1 mese	2027-01-01	9998-12-31
srv	3.1	3114	Rudern, online live, pro 1 Monat	Aviron, en ligne et en direct, par mois	Canottaggio, online live, 1 mese	2027-01-01	9998-12-31
srv	3.1	3115	Rudern, Personal Training	Aviron, entraînement personnalisé	Canottaggio, personal training	2027-01-01	9998-12-31
srv	3.1	3116	Rudern, Personal Training, online live	Aviron, entraînement personnalisé, en ligne et en direct	Canottaggio, personal training, online live	2027-01-01	9998-12-31
srv	3.1	3117	Trampolintraining, pro 1 Lektion	Entraînement sur trampoline, par leçon	Allenamento sui tappeti elastici, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3118	Trampolintraining, online live, pro 1 Lektion	Entraînement sur trampoline, en ligne et en direct, par leçon	Allenamento sui tappeti elastici, online live, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3119	Trampolintraining, pro 1 Monat	Entraînement sur trampoline, par mois	Allenamento sui tappeti elastici, 1 mese	2027-01-01	9998-12-31
srv	3.1	3120	Trampolintraining, online live, pro 1 Monat	Entraînement sur trampoline, en ligne et en direct, par mois	Allenamento sui tappeti elastici, online live, 1 mese	2027-01-01	9998-12-31
srv	3.1	3121	Trampolintraining, Personal Training	Entraînement sur trampoline, entraînement personnalisé	Allenamento sui tappeti elastici, personal training	2027-01-01	9998-12-31
srv	3.1	3122	Trampolintraining, Personal Training, online live	Entraînement sur trampoline, entraînement personnalisé, en ligne et en direct	Allenamento sui tappeti elastici, personal training, online live	2027-01-01	9998-12-31
srv	3.1	3026	Vibrationstraining, pro 1 Lektion	Entraînement par vibrations, par leçon	Allenamento vibratorio, 1 lezione	2021-01-01	9998-12-31
srv	3.1	3123	Vibrationstraining, online live, pro 1 Lektion	Entraînement par vibrations, en ligne et en direct, par leçon	Allenamento vibratorio, online live, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3025	Vibrationstraining, pro 1 Monat	Entraînement par vibrations, par mois	Allenamento vibratorio, 1 mese	2021-01-01	9998-12-31
srv	3.1	3124	Vibrationstraining, online live, pro 1 Monat	Entraînement par vibrations, en ligne et en direct, par mois	Allenamento vibratorio, online live, 1 mese	2027-01-01	9998-12-31
srv	3.1	3125	Vibrationstraining, Personal Training	Entraînement par vibrations, entraînement personnalisé	Allenamento vibratorio, personal training	2027-01-01	9998-12-31
srv	3.1	3126	Vibrationstraining, Personal Training, online live	Entraînement par vibrations, entraînement personnalisé, en ligne et en direct	Allenamento vibratorio, personal training, online live	2027-01-01	9998-12-31
srv	3.1	3127	Elektromagnetische Stimulation Beckenboden, pro 1 Lektion	Stimulation électromagnétique du périnée, par leçon	Stimolazione elettromagnetica del pavimento pelvico, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3128	Elektromagnetische Stimulation Beckenboden, pro 1 Monat	Stimulation électromagnétique du périnée, par mois	Stimolazione elettromagnetica del pavimento pelvico, 1 mese	2027-01-01	9998-12-31
srv	3.1	3129	Elektromagnetische Stimulation andere Körperteile, pro 1 Lektion	Stimulation électromagnétique d’autres parties du corps, par leçon	Stimolazione elettromagnetica di altre parti del corpo, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3130	Elektromagnetische Stimulation andere Körperteile, pro 1 Monat	Stimulation électromagnétique d’autres parties du corps, par mois	Stimolazione elettromagnetica di altre parti del corpo, 1 mese	2027-01-01	9998-12-31
srv	3.1	3006	Elektrische Stimulation (EMS), pro 1 Lektion	Stimulation électrique (EMS), par leçon	Stimolazione elettrica (EMS), 1 lezione	2021-01-01	9998-12-31
srv	3.1	3005	Elektrische Stimulation (EMS), pro 1 Monat	Stimulation électrique (EMS), par mois	Stimolazione elettrica (EMS), 1 mese	2021-01-01	9998-12-31
srv	3.1	3131	Elektrische Stimulation (EMS), Personal Training	Stimulation électrique (EMS), entraînement personnalisé	Stimolazione elettrica (EMS), personal training	2027-01-01	9998-12-31
srv	3.1	3132	Isokinetisches Training, pro 1 Lektion	Entraînement isocinétique, par leçon	Training isocinetico, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3133	Isokinetisches Training, pro 1 Monat	Entraînement isocinétique, par mois	Training isocinetico, 1 mese	2027-01-01	9998-12-31
srv	3.1	3134	Isokinetisches Training, Personal Training	Entraînement isocinétique, entraînement personnalisé	Training isocinetico, personal training	2027-01-01	9998-12-31
srv	3.1	3135	Klettern und Bouldern in der Halle, pro 1 Lektion	Escalade et bloc en salle, par leçon	Arrampicata e bouldering in palestra, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3136	Klettern und Bouldern in der Halle, pro 1 Monat	Escalade et bloc en salle, par mois	Arrampicata e bouldering in palestra, 1 mese	2027-01-01	9998-12-31
srv	3.1	3137	Klettern und Bouldern in der Halle, Personal Training	Escalade et bloc en salle, entraînement personnalisé	Arrampicata e bouldering in palestra, personal training	2027-01-01	9998-12-31
srv	3.1	3028	Walking, pro 1 Lektion	Marche, par leçon	Camminata, 1 lezione	2021-01-01	9998-12-31
srv	3.1	3138	Walking, online live, pro 1 Lektion	Marche, en ligne et en direct, par leçon	Camminata, online live, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3027	Walking, pro 1 Monat	Marche, par mois	Camminata, 1 mese	2021-01-01	9998-12-31
srv	3.1	3139	Walking, online live, pro 1 Monat	Marche, en ligne et en direct, par mois	Camminata, online live, 1 mese	2027-01-01	9998-12-31
srv	3.1	3140	Walking, Personal Training	Marche, entraînement personnalisé	Camminata, personal training	2027-01-01	9998-12-31
srv	3.1	3141	Walking, Personal Training, online live	Marche, entraînement personnalisé, en ligne et en direct	Camminata, personal training, online live	2027-01-01	9998-12-31
srv	3.1	3020	Running, pro 1 Lektion	Course à pied, par leçon	Running, 1 lezione	2021-01-01	9998-12-31
srv	3.1	3142	Running, online live, pro 1 Lektion	Course à pied, en ligne et en direct, par leçon	Running, online live, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3019	Running, pro 1 Monat	Course à pied, par mois	Running, 1 mese	2021-01-01	9998-12-31
srv	3.1	3143	Running, online live, pro 1 Monat	Course à pied, en ligne et en direct, par mois	Running, online live, 1 mese	2027-01-01	9998-12-31
srv	3.1	3144	Running, Personal Training	Course à pied, entraînement personnalisé	Running, personal training	2027-01-01	9998-12-31
srv	3.1	3145	Running, Personal Training, online live	Course à pied, entraînement personnalisé, en ligne et en direct	Running, personal training, online live	2027-01-01	9998-12-31
srv	3.1	3146	Wandern, pro 1 Lektion	Randonnée, par leçon	Escursionismo, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3147	Wandern, online live, pro 1 Lektion	Randonnée, en ligne et en direct, par leçon	Escursionismo, online live, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3148	Wandern, pro 1 Monat	Randonnée, par mois	Escursionismo, 1 mese	2027-01-01	9998-12-31
srv	3.1	3149	Wandern, online live, pro 1 Monat	Randonnée, en ligne et en direct, par mois	Escursionismo, online live, 1 mese	2027-01-01	9998-12-31
srv	3.1	3150	Wandern, Personal Training	Randonnée, entraînement personnalisé	Escursionismo, personal training	2027-01-01	9998-12-31
srv	3.1	3151	Wandern, Personal Training, online live	Randonnée, entraînement personnalisé, en ligne et en direct	Escursionismo, personal training, online live	2027-01-01	9998-12-31
srv	3.1	3152	Radsport, pro 1 Lektion	Cyclisme, par leçon	Ciclismo, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3153	Radsport, online live, pro 1 Lektion	Cyclisme, en ligne et en direct, par leçon	Ciclismo, online live, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3154	Radsport, pro 1 Monat	Cyclisme, par mois	Ciclismo, 1 mese	2027-01-01	9998-12-31
srv	3.1	3155	Radsport, online live, pro 1 Monat	Cyclisme, en ligne et en direct, par mois	Ciclismo, online live, 1 mese	2027-01-01	9998-12-31
srv	3.1	3156	Radsport, Personal Training	Cyclisme, entraînement personnalisé	Ciclismo, personal training	2027-01-01	9998-12-31
srv	3.1	3157	Radsport, Personal Training, online live	Cyclisme, entraînement personnalisé, en ligne et en direct	Ciclismo, personal training, online live	2027-01-01	9998-12-31
srv	3.1	3158	Rollsport, pro 1 Lektion	Sports à roulettes, par leçon	Sport su rotelle, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3159	Rollsport, online live, pro 1 Lektion	Sports à roulettes, en ligne et en direct, par leçon	Sport su rotelle, online live, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3160	Rollsport, pro 1 Monat	Sports à roulettes, par mois	Sport su rotelle, 1 mese	2027-01-01	9998-12-31
srv	3.1	3161	Rollsport, online live, pro 1 Monat	Sports à roulettes, en ligne et en direct, par mois	Sport su rotelle, online live, 1 mese	2027-01-01	9998-12-31
srv	3.1	3162	Rollsport, Personal Training	Sports à roulettes, entraînement personnalisé	Sport su rotelle, personal training	2027-01-01	9998-12-31
srv	3.1	3163	Rollsport, Personal Training, online live	Sports à roulettes, entraînement personnalisé, en ligne et en direct	Sport su rotelle, personal training, online live	2027-01-01	9998-12-31
srv	3.1	3164	Rudern Outdoor, pro 1 Lektion	Aviron en plein air, par leçon	Canottaggio all’aperto, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3165	Rudern Outdoor, online live, pro 1 Lektion	Aviron en plein air, en ligne et en direct, par leçon	Canottaggio all’aperto, online live, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3166	Rudern Outdoor, pro 1 Monat	Aviron en plein air, par mois	Canottaggio all’aperto, 1 mese	2027-01-01	9998-12-31
srv	3.1	3167	Rudern Outdoor, online live, pro 1 Monat	Aviron en plein air, en ligne et en direct, par mois	Canottaggio all’aperto, online live, 1 mese	2027-01-01	9998-12-31
srv	3.1	3168	Rudern Outdoor, Personal Training	Aviron en plein air, entraînement personnalisé	Canottaggio all’aperto, personal training	2027-01-01	9998-12-31
srv	3.1	3169	Rudern Outdoor, Personal Training, online live	Aviron en plein air, entraînement personnalisé, en ligne et en direct	Canottaggio all’aperto, personal training, online live	2027-01-01	9998-12-31
srv	3.1	3170	Outdoor-Krafttraining, pro 1 Lektion	Musculation en plein air, par leçon	Allenamento della forza all’aperto, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3171	Outdoor-Krafttraining, online live, pro 1 Lektion	Musculation en plein air, en ligne et en direct, par leçon	Allenamento della forza all’aperto, online live, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3172	Outdoor-Krafttraining, pro 1 Monat	Musculation en plein air, par mois	Allenamento della forza all’aperto, 1 mese	2027-01-01	9998-12-31
srv	3.1	3173	Outdoor-Krafttraining, online live, pro 1 Monat	Musculation en plein air, en ligne et en direct, par mois	Allenamento della forza all’aperto, online live, 1 mese	2027-01-01	9998-12-31
srv	3.1	3174	Outdoor-Krafttraining, Personal Training	Musculation en plein air, entraînement personnalisé	Allenamento della forza all’aperto, personal training	2027-01-01	9998-12-31
srv	3.1	3175	Outdoor-Krafttraining, Personal Training, online live	Musculation en plein air, entraînement personnalisé, en ligne et en direct	Allenamento della forza all’aperto, personal training, online live	2027-01-01	9998-12-31
srv	3.1	3176	Langlaufen, pro 1 Lektion	Ski de fond, par leçon	Sci di fondo, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3177	Langlaufen, online live, pro 1 Lektion	Ski de fond, en ligne et en direct, par leçon	Sci di fondo, online live, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3178	Langlaufen, pro 1 Monat	Ski de fond, par mois	Sci di fondo, 1 mese	2027-01-01	9998-12-31
srv	3.1	3179	Langlaufen, online live, pro 1 Monat	Ski de fond, en ligne et en direct, par mois	Sci di fondo, online live, 1 mese	2027-01-01	9998-12-31
srv	3.1	3180	Langlaufen, Personal Training	Ski de fond, entraînement personnalisé	Sci di fondo, personal training	2027-01-01	9998-12-31
srv	3.1	3181	Langlaufen, Personal Training, online live	Ski de fond, entraînement personnalisé, en ligne et en direct	Sci di fondo, personal training, online live	2027-01-01	9998-12-31
srv	3.1	3182	Schneeschuhwandern, pro 1 Lektion	Randonnée en raquettes, par leçon	Escursioni con le ciaspole, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3183	Schneeschuhwandern, online live, pro 1 Lektion	Randonnée en raquettes, en ligne et en direct, par leçon	Escursioni con le ciaspole, online live, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3184	Schneeschuhwandern, pro 1 Monat	Randonnée en raquettes, par mois	Escursioni con le ciaspole, 1 mese	2027-01-01	9998-12-31
srv	3.1	3185	Schneeschuhwandern, online live, pro 1 Monat	Randonnée en raquettes, en ligne et en direct, par mois	Escursioni con le ciaspole, online live, 1 mese	2027-01-01	9998-12-31
srv	3.1	3186	Schneeschuhwandern, Personal Training	Randonnée en raquettes, entraînement personnalisé	Escursioni con le ciaspole, personal training	2027-01-01	9998-12-31
srv	3.1	3187	Schneeschuhwandern, Personal Training, online live	Randonnée en raquettes, entraînement personnalisé, en ligne et en direct	Escursioni con le ciaspole, personal training, online live	2027-01-01	9998-12-31
srv	3.1	3188	Bewegungsangebote Outdoor für Erwachsene mit Babys/Kindern, pro 1 Lektion	Offres d’activités physiques en plein air pour adultes avec bébés/enfants, par leçon	Offerte di attività fisica outdoor per adulti con neonati/bambini, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3189	Bewegungsangebote Outdoor für Erwachsene mit Babys/Kindern, online live, pro 1 Lektion	Offres d’activités physiques en plein air pour adultes avec bébés/enfants, en ligne et en direct, par leçon	Offerte di attività fisica outdoor per adulti con neonati/bambini, online live, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3190	Bewegungsangebote Outdoor für Erwachsene mit Babys/Kindern, pro 1 Monat	Offres d’activités physiques en plein air pour adultes avec bébés/enfants, par mois	Offerte di attività fisica outdoor per adulti con neonati/bambini, 1 mese	2027-01-01	9998-12-31
srv	3.1	3191	Bewegungsangebote Outdoor für Erwachsene mit Babys/Kindern, online live, pro 1 Monat	Offres d’activités physiques en plein air pour adultes avec bébés/enfants, en ligne et en direct, par mois	Offerte di attività fisica outdoor per adulti con neonati/bambini, online live, 1 mese	2027-01-01	9998-12-31
srv	3.1	3192	Bewegungsangebote Outdoor für Erwachsene mit Babys/Kindern, Personal Training	Offres d’activités physiques en plein air pour adultes avec bébés/enfants, entraînement personnalisé	Offerte di attività fisica outdoor per adulti con neonati/bambini, personal training	2027-01-01	9998-12-31
srv	3.1	3193	Bewegungsangebote Outdoor für Erwachsene mit Babys/Kindern, Personal Training, online live	Offres d’activités physiques en plein air pour adultes avec bébés/enfants, entraînement personnalisé, en ligne et en direct	Offerte di attività fisica outdoor per adulti con neonati/bambini, personal training, online live	2027-01-01	9998-12-31
srv	3.1	3194	Eislaufen, pro 1 Lektion	Patinage, par leçon	Pattinaggio sul ghiaccio, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3195	Eislaufen, online live, pro 1 Lektion	Patinage, en ligne et en direct, par leçon	Pattinaggio sul ghiaccio, online live, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3196	Eislaufen, pro 1 Monat	Patinage, par mois	Pattinaggio sul ghiaccio, 1 mese	2027-01-01	9998-12-31
srv	3.1	3197	Eislaufen, online live, pro 1 Monat	Patinage, en ligne et en direct, par mois	Pattinaggio sul ghiaccio, online live, 1 mese	2027-01-01	9998-12-31
srv	3.1	3198	Eislaufen, Personal Training	Patinage, entraînement personnalisé	Pattinaggio sul ghiaccio, personal training	2027-01-01	9998-12-31
srv	3.1	3199	Eislaufen, Personal Training, online live	Patinage, entraînement personnalisé, en ligne et en direct	Pattinaggio sul ghiaccio, personal training, online live	2027-01-01	9998-12-31
srv	3.1	3012	Aquafitness, pro 1 Lektion	Aquagym, par leçon	Aquafitness, 1 lezione	2021-01-01	9998-12-31
srv	3.1	3011	Aquafitness, pro 1 Monat	Aquagym, par mois	Aquafitness, 1 mese	2021-01-01	9998-12-31
srv	3.1	3200	Aquafitness, Personal Training	Aquagym, entraînement personnalisé	Aquafitness, personal training	2027-01-01	9998-12-31
srv	3.1	3201	Schwimmen, pro 1 Lektion	Natation, par leçon	Nuoto, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3202	Schwimmen, pro 1 Monat	Natation, par mois	Nuoto, 1 mese	2027-01-01	9998-12-31
srv	3.1	3203	Schwimmen, Personal Training	Natation, entraînement personnalisé	Nuoto, personal training	2027-01-01	9998-12-31
srv	3.1	3204	Bewegungsangebote im Wasser für Erwachsene mit Babys/Kindern, pro 1 Lektion	Offres d’activités physiques dans l’eau pour adultes avec bébés/enfants, par leçon	Offerte di attività fisica in acqua per adulti con neonati/bambini, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3205	Bewegungsangebote im Wasser für Erwachsene mit Babys/Kindern, pro 1 Monat	Offres d’activités physiques dans l’eau pour adultes avec bébés/enfants, par mois	Offerte di attività fisica in acqua per adulti con neonati/bambini, 1 mese	2027-01-01	9998-12-31
srv	3.1	3206	Bewegungsangebote im Wasser für Erwachsene mit Babys/Kindern, Personal Training	Offres d’activités physiques dans l’eau pour adultes avec bébés/enfants, entraînement personnalisé	Offerte di attività fisica in acqua per adulti con neonati/bambini, personal training	2027-01-01	9998-12-31
chp	3.2		Body-and-Mind-Training	Entraînement physique et mental	Body and mind training	2027-01-01	9998-12-31
srv	3.2	3030	Yoga, pro 1 Lektion	Yoga, par leçon	Yoga, 1 lezione	2021-01-01	9998-12-31
srv	3.2	3207	Yoga, online live, pro 1 Lektion	Yoga, en ligne et en direct, par leçon	Yoga, online live, 1 lezione	2027-01-01	9998-12-31
srv	3.2	3029	Yoga, pro 1 Monat	Yoga, par mois	Yoga, 1 mese	2021-01-01	9998-12-31
srv	3.2	3208	Yoga, online live, pro 1 Monat	Yoga, en ligne et en direct, par mois	Yoga, online live, 1 mese	2027-01-01	9998-12-31
srv	3.2	3209	Yoga, Personal Training	Yoga, entraînement personnalisé	Yoga, personal training	2027-01-01	9998-12-31
srv	3.2	3210	Yoga, Personal Training, online live	Yoga, entraînement personnalisé, en ligne et en direct	Yoga, personal training, online live	2027-01-01	9998-12-31
srv	3.2	3211	Gehirnfitness-Training, pro 1 Lektion	Entraînement de fitness cérébral, par leçon	Allenamento fitness cerebrale, 1 lezione	2027-01-01	9998-12-31
srv	3.2	3212	Gehirnfitness-Training, online live, pro 1 Lektion	Entraînement de fitness cérébral, en ligne et en direct, par leçon	Allenamento fitness cerebrale, online live, 1 lezione	2027-01-01	9998-12-31
srv	3.2	3213	Gehirnfitness-Training, pro 1 Monat	Entraînement de fitness cérébral, par mois	Allenamento fitness cerebrale, 1 mese	2027-01-01	9998-12-31
srv	3.2	3214	Gehirnfitness-Training, online live, pro 1 Monat	Entraînement de fitness cérébral, en ligne et en direct, par mois	Allenamento fitness cerebrale, online live, 1 mese	2027-01-01	9998-12-31
srv	3.2	3215	Gehirnfitness-Training, Personal Training	Entraînement de fitness cérébral, entraînement personnalisé	Allenamento fitness cerebrale, personal training	2027-01-01	9998-12-31
srv	3.2	3216	Gehirnfitness-Training, Personal Training, online live	Entraînement de fitness cérébral, entraînement personnalisé, en ligne et en direct	Allenamento fitness cerebrale, personal training, online live	2027-01-01	9998-12-31
srv	3.2	5002	Achtsamkeitstraining für Stressreduktion und Resilienz, pro 1 Lektion	Entraînement à la pleine conscience pour la réduction du stress et la résilience, par leçon	Allenamento dell’attenzione consapevole per la riduzione dello stress e la resilienza, 1 lezione	2021-01-01	9998-12-31
srv	3.2	3217	Achtsamkeitstraining für Stressreduktion und Resilienz, online live, pro 1 Lektion	Entraînement à la pleine conscience pour la réduction du stress et la résilience, en ligne et en direct, par leçon	Allenamento dell’attenzione consapevole per la riduzione dello stress e la resilienza, online live, 1 lezione	2027-01-01	9998-12-31
srv	3.2	5001	Achtsamkeitstraining für Stressreduktion und Resilienz, pro 1 Monat	Entraînement à la pleine conscience pour la réduction du stress et la résilience, par mois	Allenamento dell’attenzione consapevole per la riduzione dello stress e la resilienza, 1 mese	2021-01-01	9998-12-31
srv	3.2	3218	Achtsamkeitstraining für Stressreduktion und Resilienz, online live, pro 1 Monat	Entraînement à la pleine conscience pour la réduction du stress et la résilience, en ligne et en direct, par mois	Allenamento dell’attenzione consapevole per la riduzione dello stress e la resilienza, online live, 1 mese	2027-01-01	9998-12-31
srv	3.2	3219	Achtsamkeitstraining für Stressreduktion und Resilienz, Personal Training	Entraînement à la pleine conscience pour la réduction du stress et la résilience, entraînement personnalisé	Allenamento dell’attenzione consapevole per la riduzione dello stress e la resilienza, personal training	2027-01-01	9998-12-31
srv	3.2	3220	Achtsamkeitstraining für Stressreduktion und Resilienz, Personal Training, online live	Entraînement à la pleine conscience pour la réduction du stress et la résilience, entraînement personnalisé, en ligne et en direct	Allenamento dell’attenzione consapevole per la riduzione dello stress e la resilienza, personal training, online live	2027-01-01	9998-12-31
srv	3.2	3221	Achtsamkeitstraining für Schlaf und Entspannung, pro 1 Lektion	Entraînement à la pleine conscience pour le sommeil et la relaxation, par leçon	Allenamento dell’attenzione consapevole per il sonno e il rilassamento, 1 lezione	2027-01-01	9998-12-31
srv	3.2	3222	Achtsamkeitstraining für Schlaf und Entspannung, online live, pro 1 Lektion	Entraînement à la pleine conscience pour le sommeil et la relaxation, en ligne et en direct, par leçon	Allenamento dell’attenzione consapevole per il sonno e il rilassamento, online live, 1 lezione	2027-01-01	9998-12-31
srv	3.2	3223	Achtsamkeitstraining für Schlaf und Entspannung, pro 1 Monat	Entraînement à la pleine conscience pour le sommeil et la relaxation, par mois	Allenamento dell’attenzione consapevole per il sonno e il rilassamento, 1 mese	2027-01-01	9998-12-31
srv	3.2	3224	Achtsamkeitstraining für Schlaf und Entspannung, online live, pro 1 Monat	Entraînement à la pleine conscience pour le sommeil et la relaxation, en ligne et en direct, par mois	Allenamento dell’attenzione consapevole per il sonno e il rilassamento, online live, 1 mese	2027-01-01	9998-12-31
srv	3.2	3225	Achtsamkeitstraining für Schlaf und Entspannung, Personal Training	Entraînement à la pleine conscience pour le sommeil et la relaxation, entraînement personnalisé	Allenamento dell’attenzione consapevole per il sonno e il rilassamento, personal training	2027-01-01	9998-12-31
srv	3.2	3226	Achtsamkeitstraining für Schlaf und Entspannung, Personal Training, online live	Entraînement à la pleine conscience pour le sommeil et la relaxation, entraînement personnalisé, en ligne et en direct	Allenamento dell’attenzione consapevole per il sonno e il rilassamento, personal training, online live	2027-01-01	9998-12-31
srv	3.2	3227	Achtsamkeitstraining für Körperwahrnehmung und Bewegung, pro 1 Lektion	Entraînement à la pleine conscience pour la perception corporelle et l’activité physique, par leçon	Allenamento dell’attenzione consapevole per la percezione del corpo e l’esercizio fisico, 1 lezione	2027-01-01	9998-12-31
srv	3.2	3228	Achtsamkeitstraining für Körperwahrnehmung und Bewegung, online live, pro 1 Lektion	Entraînement à la pleine conscience pour la perception corporelle et l’activité physique, en ligne et en direct, par leçon	Allenamento dell’attenzione consapevole per la percezione del corpo e l’esercizio fisico, online live, 1 lezione	2027-01-01	9998-12-31
srv	3.2	3229	Achtsamkeitstraining für Körperwahrnehmung und Bewegung, pro 1 Monat	Entraînement à la pleine conscience pour la perception corporelle et l’activité physique, par mois	Allenamento dell’attenzione consapevole per la percezione del corpo e l’esercizio fisico, 1 mese	2027-01-01	9998-12-31
srv	3.2	3230	Achtsamkeitstraining für Körperwahrnehmung und Bewegung, online live, pro 1 Monat	Entraînement à la pleine conscience pour la perception corporelle et l’activité physique, en ligne et en direct, par mois	Allenamento dell’attenzione consapevole per la percezione del corpo e l’esercizio fisico, online live, 1 mese	2027-01-01	9998-12-31
srv	3.2	3231	Achtsamkeitstraining für Körperwahrnehmung und Bewegung, Personal Training	Entraînement à la pleine conscience pour la perception corporelle et l’activité physique, entraînement personnalisé	Allenamento dell’attenzione consapevole per la percezione del corpo e l’esercizio fisico, personal training	2027-01-01	9998-12-31
srv	3.2	3232	Achtsamkeitstraining für Körperwahrnehmung und Bewegung, Personal Training, online live	Entraînement à la pleine conscience pour la perception corporelle et l’activité physique, entraînement personnalisé, en ligne et en direct	Allenamento dell’attenzione consapevole per la percezione del corpo e l’esercizio fisico, personal training, online live	2027-01-01	9998-12-31
srv	3.2	3233	Body-and-Mind-Training für Erwachsene mit Babys/Kindern, pro 1 Lektion	Entraînement physique et mental pour adultes avec bébés/enfants, par leçon	Training body and mind per adulti con neonati/bambini, 1 lezione	2027-01-01	9998-12-31
srv	3.2	3234	Body-and-Mind-Training für Erwachsene mit Babys/Kindern, online live, pro 1 Lektion	Entraînement physique et mental pour adultes avec bébés/enfants, en ligne et en direct, par leçon	Training body and mind per adulti con neonati/bambini, online live, 1 lezione	2027-01-01	9998-12-31
srv	3.2	3235	Body-and-Mind-Training für Erwachsene mit Babys/Kindern, pro 1 Monat	Entraînement physique et mental pour adultes avec bébés/enfants, par mois	Training body and mind per adulti con neonati/bambini, 1 mese	2027-01-01	9998-12-31
srv	3.2	3236	Body-and-Mind-Training für Erwachsene mit Babys/Kindern, online live, pro 1 Monat	Entraînement physique et mental pour adultes avec bébés/enfants, en ligne et en direct, par mois	Training body and mind per adulti con neonati/bambini, online live, 1 mese	2027-01-01	9998-12-31
srv	3.2	3237	Body-and-Mind-Training für Erwachsene mit Babys/Kindern, Personal Training	Entraînement physique et mental pour adultes avec bébés/enfants, entraînement personnalisé	Training body and mind per adulti con neonati/bambini, personal training	2027-01-01	9998-12-31
srv	3.2	3238	Body-and-Mind-Training für Erwachsene mit Babys/Kindern, Personal Training, online live	Entraînement physique et mental pour adultes avec bébés/enfants, entraînement personnalisé, en ligne et en direct	Training body and mind per adulti con neonati/bambini, personal training, online live	2027-01-01	9998-12-31
srv	3.2	3239	Waldbaden, pro 1 Lektion	Bain de forêt, par leçon	Bagno nella foresta, 1 lezione	2027-01-01	9998-12-31
srv	3.2	3240	Waldbaden, online live, pro 1 Lektion	Bain de forêt, en ligne et en direct, par leçon	Bagno nella foresta, online live, 1 lezione	2027-01-01	9998-12-31
srv	3.2	3241	Waldbaden, pro 1 Monat	Bain de forêt, par mois	Bagno nella foresta, 1 mese	2027-01-01	9998-12-31
srv	3.2	3242	Waldbaden, online live, pro 1 Monat	Bain de forêt, en ligne et en direct, par mois	Bagno nella foresta, online live, 1 mese	2027-01-01	9998-12-31
srv	3.2	3243	Waldbaden, Personal Training	Bain de forêt, entraînement personnalisé	Bagno nella foresta, personal training	2027-01-01	9998-12-31
srv	3.2	3244	Waldbaden, Personal Training, online live	Bain de forêt, entraînement personnalisé, en ligne et en direct	Bagno nella foresta, personal training, online live	2027-01-01	9998-12-31
chp	3.3		Diverse Kursangebote	Diverses offres de cours	Offerte di corsi varie	2027-01-01	9998-12-31
srv	3.3	3024	Qigong, pro 1 Lektion	Qi gong, par leçon	Qigong, 1 lezione	2021-01-01	9998-12-31
srv	3.3	3245	Qigong, online live, pro 1 Lektion	Qi gong, en ligne et en direct, par leçon	Qigong, online live, 1 lezione	2027-01-01	9998-12-31
srv	3.3	3023	Qigong, pro 1 Monat	Qi gong, par mois	Qigong, 1 mese	2021-01-01	9998-12-31
srv	3.3	3246	Qigong, online live, pro 1 Monat	Qi gong, en ligne et en direct, par mois	Qigong, online live, 1 mese	2027-01-01	9998-12-31
srv	3.3	3247	Qigong, Personal Training	Qi gong, entraînement personnalisé	Qigong, personal training	2027-01-01	9998-12-31
