type	chapter_no	service_no	description_de	description_fr	description_it	valid_from	valid_until
chp	2.3		Andere Trainingsanlagen ohne Kurse (indoor und outdoor)	Autres installations d’entraînement sans cours (en salle et en plein air)	Altre strutture per allenamento senza corsi (indoor e outdoor)	2027-01-01	9998-12-31
srv	2.3	1009	Wohlfühlbehandlungen und Wellness, pauschal	Traitements bien-être, forfait	Trattamenti benessere e wellness, forfait	2019-01-01	9998-12-31
srv	2.3	1010	Kosmetikbehandlungen im Fitnesscenter, pro 5 Min.	Traitements cosmétiques en centre de fitness, par périodes de cinq minutes	Trattamenti cosmetici nel centro fitness, 5 min.	2019-01-01	2026-12-31
srv	2.3	1012	Hallen- und Freibad, pro 1 Monat	Piscine couverte et en plein air, par mois	Piscina coperta e all’aperto, 1 mese	2019-01-01	9998-12-31
srv	2.3	1013	Hallen- und Freibad, Einzeleintritt	Piscine couverte et en plein air, entrée individuelle	Piscina coperta e all’aperto, entrata singola	2019-01-01	9998-12-31
srv	2.3	1030	Klettern und Bouldern in der Halle, pro 1 Monat	Escalade et bloc en salle, par mois	Arrampicata e bouldering in palestra, 1 mese	2027-01-01	9998-12-31
srv	2.3	1031	Klettern und Bouldern in der Halle, Einzeleintritt	Escalade et bloc en salle, entrée individuelle	Arrampicata e bouldering in palestra, entrata singola	2027-01-01	9998-12-31
srv	2.3	1032	Loipen-Pass, pauschal	Carte d’accès aux pistes de ski, forfait	Pass per le piste da sci di fondo, forfait	2027-01-01	9998-12-31
srv	2.3	1033	Eishalle, pro 1 Monat	Patinoire, par mois	Palaghiaccio, 1 mese	2027-01-01	9998-12-31
srv	2.3	1034	Eishalle, Einzeleintritt	Patinoire, entrée individuelle	Palaghiaccio, entrata singola	2027-01-01	9998-12-31
chp	2.4		Vereine und Sportförderung (Einzel- und Mannschaftssportarten)	Associations et promotion du sport (sports individuels et en équipe)	Associazioni e promozione dello sport (Sport individuali e di squadra)	2027-01-01	9998-12-31
srv	2.4	1035	Mitgliedschaft im Sportverein, pauschal	Affiliation à un club de sport, forfait	Affiliazione a un’associazione sportiva, forfait	2027-01-01	9998-12-31
chp	3		Gruppenkurse und Personaltraining	Cours collectifs et entraînement personnalisé	Corsi di gruppo e personal training	2021-01-01	9998-12-31
chp	3.1		Ausdauer und Kraft	Endurance et musculation	Resistenza e forza	2027-01-01	9998-12-31
srv	3.1	3031	Zumba, Einzel- und Gruppenunterricht, Abonnement pro 1 Monat	Zumba, cours particuliers et collectifs, abonnement par mois	Zumba, lezioni individuali e di gruppo, abbonamento 1 mese	2021-01-01	2022-12-31
srv	3.1	3032	Zumba, Einzel- und Gruppenunterricht, pro 1 Lektion	Zumba, cours particuliers et collectifs, par leçon	Zumba, lezioni individuali e di gruppo, 1 lezione	2021-01-01	2022-12-31
srv	3.1	3001	Antara, pro 1 Monat	Antara, par mois	Antara, 1 mese	2021-01-01	2026-12-31
srv	3.1	3002	Antara, pro 1 Lektion	Antara, par leçon	Antara, 1 lezione	2021-01-01	2026-12-31
srv	3.1	3009	Körper- und Bewegungsschulung, pro 1 Monat	Entraînement physique et moteur, par mois	Rieducazione fisica e al movimento, 1 mese	2021-01-01	2026-12-31
srv	3.1	3010	Körper- und Bewegungsschulung, pro 1 Lektion	Entraînement physique et moteur, par leçon	Rieducazione fisica e al movimento, 1 lezione	2021-01-01	2026-12-31
srv	3.1	3015	Pilates, pro 1 Monat	Pilates, par mois	Pilates, 1 mese	2021-01-01	2026-12-31
srv	3.1	3016	Pilates, pro 1 Lektion	Pilates, par leçon	Pilates, 1 lezione	2021-01-01	2026-12-31
srv	3.1	3017	Rhythmisches Bewegungsangebot, pro 1 Monat	Offre d’activité physique rythmée, par mois	Offerta di attività fisica ritmica, 1 mese	2021-01-01	2026-12-31
